rule_id,status,event_type,severity,total,attacker,system_or_other,fp_ratio,reason_or_decision
exfil_outbound_high_port,confirmed-noisy,tcp_connect,info,38,8,30,0.79,3.2 — tune: attacker signal present but mixed with daemon/self noise
owasp_reverse_shell_pattern,confirmed-noisy,tcp_connect,warning,38,8,30,0.79,3.2 — tune: attacker signal present but mixed with daemon/self noise
fim_hosts_file_modified,confirmed-noisy,file,warning,26,12,14,0.54,"3.2 — legitimate daemon writes (sshd/cron), add comm+path exception"
webshell_outbound_high_port,confirmed-noisy,tcp_connect,warning,12,8,4,0.33,3.2 — tune: attacker signal present but mixed with daemon/self noise
cred_proc_maps_mass_read,noisy-only,file,critical,3263,0,3263,1.0,3.2 — recon/sandbox rules fire on legitimate inventory (ps/pgrep/find/grep); add comm exception
container_escape_init_proc,noisy-only,file,warning,3066,0,3066,1.0,3.2 — fires on container runtime internals (runc/containerd/dockerd); needs comm scoping
mitre_sandbox_detect_proc_read,noisy-only,file,warning,2502,0,2502,1.0,3.2 — recon/sandbox rules fire on legitimate inventory (ps/pgrep/find/grep); add comm exception
sigma_failed_login_syscall,noisy-only,file,warning,2354,0,2354,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
rootkit_pam_module_added,noisy-only,file,critical,2195,0,2195,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
sigma_log_deletion,noisy-only,file,critical,2089,0,2089,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
sigma_utmp_wtmp_modified,noisy-only,file,warning,1597,0,1597,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
recon_sensitive_file_find,noisy-only,file,info,591,0,591,1.0,3.2 — recon/sandbox rules fire on legitimate inventory (ps/pgrep/find/grep); add comm exception
sigma_memory_proc_dump,noisy-only,file,critical,431,0,431,1.0,3.2 — recon/sandbox rules fire on legitimate inventory (ps/pgrep/find/grep); add comm exception
sigma_cpu_info_access,noisy-only,file,warning,388,0,388,1.0,3.2 — recon/sandbox rules fire on legitimate inventory (ps/pgrep/find/grep); add comm exception
sigma_kernel_version_read,noisy-only,file,warning,380,0,380,1.0,3.2 — recon/sandbox rules fire on legitimate inventory (ps/pgrep/find/grep); add comm exception
supply_chain_pkg_tmp_staging,noisy-only,file,warning,364,0,364,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
cred_shadow_read,noisy-only,file,critical,362,0,362,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
web_sql_injection_files,noisy-only,file,critical,318,0,318,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
container_escape_proc_write,noisy-only,file,warning,142,0,142,1.0,3.2 — fires on container runtime internals (runc/containerd/dockerd); needs comm scoping
netintr_long_dns_session,noisy-only,net_close,warning,132,0,132,1.0,3.2 — grafana monitoring DNS looks like tunneling; add monitoring-infra exception
netintr_large_upload_port,noisy-only,tcp_connect,warning,97,0,97,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
container_escape_host_mount,noisy-only,file,critical,90,0,90,1.0,3.2 — fires on container runtime internals (runc/containerd/dockerd); needs comm scoping
owasp_log_tampering,noisy-only,file,warning,82,0,82,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
cryptominer_xmrig_signature,noisy-only,file,critical,70,0,70,1.0,3.2 — fires on container runtime internals (runc/containerd/dockerd); needs comm scoping
owasp_path_traversal,noisy-only,file,critical,56,0,56,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
web_path_traversal_extended,noisy-only,file,critical,56,0,56,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
eks_ecr_credential_helper_access,noisy-only,file,warning,50,0,50,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
rootkit_proc_sysctl_write,noisy-only,file,warning,50,0,50,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
mitre_reflective_elf_load,noisy-only,file,critical,46,0,46,1.0,3.2 — fires on container runtime internals (runc/containerd/dockerd); needs comm scoping
mitre_so_injection_via_proc,noisy-only,file,critical,46,0,46,1.0,3.2 — fires on container runtime internals (runc/containerd/dockerd); needs comm scoping
container_escape_host_network,noisy-only,file,warning,44,0,44,1.0,3.2 — fires on container runtime internals (runc/containerd/dockerd); needs comm scoping
fim_group_write,noisy-only,file,critical,38,0,38,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
sigma_sensitive_dir_listing,noisy-only,file,warning,30,0,30,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
fim_profile_modified,noisy-only,file,warning,26,0,26,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
fim_shadow_write,noisy-only,file,critical,22,0,22,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
container_escape_module_access,noisy-only,file,warning,20,0,20,1.0,3.2 — fires on container runtime internals (runc/containerd/dockerd); needs comm scoping
canary_004,noisy-only,file,critical,16,0,16,1.0,3.2 / P1-17 remainder — ebpf-guard self triggering own canaries (self-exclusion gap)
rootkit_ssh_authorized_keys_modified,noisy-only,file,critical,14,0,14,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
webshell_crontab_modification,noisy-only,file,critical,13,0,13,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
appexploit_nodejs_child_process,noisy-only,file,warning,8,0,8,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
container_escape_cgroup_v2,noisy-only,file,warning,8,0,8,1.0,3.2 — fires on container runtime internals (runc/containerd/dockerd); needs comm scoping
dns_tunneling_long_domain,noisy-only,dns,critical,8,0,8,1.0,3.2 — grafana monitoring DNS looks like tunneling; add monitoring-infra exception
exfil_dns_txt_long_label,noisy-only,dns,critical,8,0,8,1.0,3.2 — grafana monitoring DNS looks like tunneling; add monitoring-infra exception
netintr_dns_long_label,noisy-only,dns,critical,8,0,8,1.0,3.2 — grafana monitoring DNS looks like tunneling; add monitoring-infra exception
sigma_tool_download_to_tmp,noisy-only,file,warning,8,0,8,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
webshell_dns_exfil_long_subdomain,noisy-only,dns,warning,8,0,8,1.0,3.2 — grafana monitoring DNS looks like tunneling; add monitoring-infra exception
canary_001,noisy-only,file,critical,7,0,7,1.0,3.2 / P1-17 remainder — ebpf-guard self triggering own canaries (self-exclusion gap)
canary_002,noisy-only,file,critical,7,0,7,1.0,3.2 / P1-17 remainder — ebpf-guard self triggering own canaries (self-exclusion gap)
canary_003,noisy-only,file,critical,7,0,7,1.0,3.2 / P1-17 remainder — ebpf-guard self triggering own canaries (self-exclusion gap)
canary_005,noisy-only,file,critical,7,0,7,1.0,3.2 / P1-17 remainder — ebpf-guard self triggering own canaries (self-exclusion gap)
fim_ssh_key_written,noisy-only,file,critical,6,0,6,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
container_escape_host_device,noisy-only,file,critical,4,0,4,1.0,3.2 — fires on container runtime internals (runc/containerd/dockerd); needs comm scoping
impact_raw_disk_write_from_container,noisy-only,file,critical,4,0,4,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
mitre_arp_spoof_raw_socket,noisy-only,syscall,warning,4,0,4,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
proc_keys_read,noisy-only,file,warning,4,0,4,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
rootkit_kcore_access,noisy-only,file,critical,4,0,4,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
rootkit_proc_modules_read,noisy-only,file,warning,4,0,4,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
sigma_cron_job_created,noisy-only,file,critical,4,0,4,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
sigma_systemd_service_created,noisy-only,file,critical,4,0,4,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
supply_chain_dockerfile_persistence,noisy-only,file,warning,4,0,4,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
supply_chain_lockfile_recon,noisy-only,file,info,4,0,4,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
supply_chain_pkg_install_etc_write,noisy-only,file,critical,4,0,4,1.0,3.2 — pure FP on system daemon; add exception or disable pending review
aks_azure_linux_agent_access,silent,file,critical,0,0,0,0,"L. k8s/cloud-k8s: stend is bare docker, not a k8s node"
aks_bootstrap_kubeconfig_access,silent,file,critical,0,0,0,0,"L. k8s/cloud-k8s: stend is bare docker, not a k8s node"
aks_imds_access,silent,tcp_connect,critical,0,0,0,0,"L. k8s/cloud-k8s: stend is bare docker, not a k8s node"
aks_managed_identity_token_abuse,silent,cloud_audit,warning,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
aks_service_principal_secret_access,silent,file,critical,0,0,0,0,"L. k8s/cloud-k8s: stend is bare docker, not a k8s node"
aks_workload_identity_token_read,silent,file,critical,0,0,0,0,"L. k8s/cloud-k8s: stend is bare docker, not a k8s node"
appexploit_cmd_injection_nc,silent,file,critical,0,0,0,0,Z4. file: watched path/op not touched by attacks OR comm condition unmet (needs YAML review)
appexploit_cmd_injection_whoami,silent,file,warning,0,0,0,0,Z4. file: watched path/op not touched by attacks OR comm condition unmet (needs YAML review)
appexploit_containerd_socket_access,silent,file,critical,0,0,0,0,Z4. file: watched path/op not touched by attacks OR comm condition unmet (needs YAML review)
appexploit_cri_socket_access,silent,file,critical,0,0,0,0,Z4. file: watched path/op not touched by attacks OR comm condition unmet (needs YAML review)
appexploit_docker_socket_access,silent,file,critical,0,0,0,0,Z4. file: watched path/op not touched by attacks OR comm condition unmet (needs YAML review)
appexploit_java_deser_network_port,silent,tcp_connect,warning,0,0,0,0,Z2. tcp_connect: specific dest/port pattern not matched (attacks use localhost/known ports)
appexploit_java_deser_ysoserial,silent,tls,critical,0,0,0,0,C. tls: collector disabled in test config (config-test.yaml tls.enabled=false)
appexploit_lfi_log_poisoning,silent,file,warning,0,0,0,0,Z4. file: watched path/op not touched by attacks OR comm condition unmet (needs YAML review)
appexploit_log4shell_jndi_lookup,silent,dns,critical,0,0,0,0,"D. dns: collector blind on nss-resolve path (P0-26); attacks hit localhost:3000, no resolution needed"
appexploit_log4shell_ldap_port,silent,tcp_connect,critical,0,0,0,0,Z2. tcp_connect: specific dest/port pattern not matched (attacks use localhost/known ports)
appexploit_log4shell_rmi_port,silent,tcp_connect,critical,0,0,0,0,Z2. tcp_connect: specific dest/port pattern not matched (attacks use localhost/known ports)
appexploit_php_deser_chain,silent,tls,critical,0,0,0,0,C. tls: collector disabled in test config (config-test.yaml tls.enabled=false)
appexploit_pip_install_malicious,silent,syscall,warning,0,0,0,0,Z1. syscall: condition (arg pattern / specific nr+ret) not matched by test attacks
appexploit_shellshock_pattern,silent,syscall,critical,0,0,0,0,Z1. syscall: condition (arg pattern / specific nr+ret) not matched by test attacks
appexploit_spring4shell_file_write,silent,file,critical,0,0,0,0,Z4. file: watched path/op not touched by attacks OR comm condition unmet (needs YAML review)
appexploit_sqli_exec_xp,silent,syscall,critical,0,0,0,0,Z1. syscall: condition (arg pattern / specific nr+ret) not matched by test attacks
appexploit_sqli_outfile,silent,syscall,critical,0,0,0,0,Z1. syscall: condition (arg pattern / specific nr+ret) not matched by test attacks
appexploit_ssrf_gcp_metadata,silent,tcp_connect,critical,0,0,0,0,Z2. tcp_connect: specific dest/port pattern not matched (attacks use localhost/known ports)
appexploit_ssti_pattern,silent,syscall,critical,0,0,0,0,Z1. syscall: condition (arg pattern / specific nr+ret) not matched by test attacks
appexploit_struts2_ognl_shell,silent,file,critical,0,0,0,0,Z4. file: watched path/op not touched by attacks OR comm condition unmet (needs YAML review)
appexploit_xmrig_download,silent,file,critical,0,0,0,0,M. cryptominer: no miner binary executed in test attacks (stratum not exercised)
bpf_activity_unexpected_process,silent,bpf_program,warning,0,0,0,0,H. bpf-subversion: no BPF tampering attempted in test attacks
bpf_kprobe_unauthorized,silent,bpf_program,critical,0,0,0,0,H. bpf-subversion: no BPF tampering attempted in test attacks
bpf_prog_load_unauthorized,silent,bpf_program,critical,0,0,0,0,H. bpf-subversion: no BPF tampering attempted in test attacks
bpf_xdp_tc_unauthorized,silent,bpf_program,critical,0,0,0,0,H. bpf-subversion: no BPF tampering attempted in test attacks
c2_connect_to_tor_port,silent,tcp_connect,critical,0,0,0,0,Z2. tcp_connect: specific dest/port pattern not matched (attacks use localhost/known ports)
c2_high_port_outbound,silent,tcp_connect,warning,0,0,0,0,Z2. tcp_connect: specific dest/port pattern not matched (attacks use localhost/known ports)
c2_icmp_large_payload,silent,tcp_connect,warning,0,0,0,0,Z2. tcp_connect: specific dest/port pattern not matched (attacks use localhost/known ports)
c2_ingress_piped_to_shell,silent,syscall,critical,0,0,0,0,Z1. syscall: condition (arg pattern / specific nr+ret) not matched by test attacks
c2_paste_site_access,silent,dns,warning,0,0,0,0,"D. dns: collector blind on nss-resolve path (P0-26); attacks hit localhost:3000, no resolution needed"
c2_raw_socket_shell,silent,syscall,warning,0,0,0,0,Z1. syscall: condition (arg pattern / specific nr+ret) not matched by test attacks
c2_remote_access_tool,silent,syscall,warning,0,0,0,0,Z1. syscall: condition (arg pattern / specific nr+ret) not matched by test attacks
c2_reverse_shell_standard_ports,silent,tcp_connect,critical,0,0,0,0,Z2. tcp_connect: specific dest/port pattern not matched (attacks use localhost/known ports)
cis_5_1_1_cluster_admin_usage,silent,syscall,warning,0,0,0,0,Z1. syscall: condition (arg pattern / specific nr+ret) not matched by test attacks
cis_5_1_3_secret_access,silent,file,warning,0,0,0,0,Z4. file: watched path/op not touched by attacks OR comm condition unmet (needs YAML review)
cis_5_2_1_privileged_container,silent,syscall,critical,0,0,0,0,Z1. syscall: condition (arg pattern / specific nr+ret) not matched by test attacks
cis_5_2_5_privilege_escalation,silent,syscall,critical,0,0,0,0,Z1. syscall: condition (arg pattern / specific nr+ret) not matched by test attacks
cloud_001,silent,cloud_audit,warning,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_002,silent,cloud_audit,warning,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_003,silent,cloud_audit,critical,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_004,silent,cloud_audit,critical,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_005,silent,cloud_audit,warning,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_006,silent,cloud_audit,warning,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_007,silent,cloud_audit,warning,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_ext_aws_cloudtrail_stopped,silent,cloud_audit,critical,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_ext_aws_ec2_snapshot_copy,silent,cloud_audit,critical,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_ext_aws_guardduty_disabled,silent,cloud_audit,critical,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_ext_aws_iam_assume_role_repeated,silent,cloud_audit,warning,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_ext_aws_iam_user_created,silent,cloud_audit,warning,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_ext_aws_imds_v1_access,silent,tcp_connect,warning,0,0,0,0,Z2. tcp_connect: specific dest/port pattern not matched (attacks use localhost/known ports)
cloud_ext_aws_lambda_function_created,silent,cloud_audit,warning,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_ext_aws_new_access_key,silent,cloud_audit,warning,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_ext_aws_root_account_login,silent,cloud_audit,critical,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_ext_aws_s3_bucket_public,silent,cloud_audit,critical,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_ext_aws_secretsmanager_access,silent,cloud_audit,warning,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_ext_aws_ssm_shell,silent,cloud_audit,warning,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_ext_azure_keyvault_secret_access,silent,cloud_audit,warning,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_ext_azure_rbac_assignment,silent,cloud_audit,warning,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_ext_azure_runcommand,silent,cloud_audit,critical,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_ext_azure_sentinel_disabled,silent,cloud_audit,critical,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_ext_azure_storage_anonymous_access,silent,cloud_audit,warning,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_ext_gcp_compute_metadata_access,silent,tcp_connect,warning,0,0,0,0,Z2. tcp_connect: specific dest/port pattern not matched (attacks use localhost/known ports)
cloud_ext_gcp_kubernetes_pod_exec,silent,cloud_audit,warning,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_ext_gcp_project_iam_modified,silent,cloud_audit,critical,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_ext_gcp_service_account_key,silent,cloud_audit,critical,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_ext_gcp_storage_public,silent,cloud_audit,critical,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_ext_k8s_cluster_admin_binding,silent,cloud_audit,critical,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_ext_k8s_etcd_access,silent,tcp_connect,critical,0,0,0,0,Z2. tcp_connect: specific dest/port pattern not matched (attacks use localhost/known ports)
cloud_ext_k8s_privileged_pod,silent,cloud_audit,critical,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_ext_k8s_secret_list,silent,cloud_audit,warning,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
cloud_ext_k8s_webhook_created,silent,cloud_audit,critical,0,0,0,0,A. cloud_audit: no cloud provider integration on bare-metal docker stend
collection_direct_db_file_access,silent,file,critical,0,0,0,0,Z4. file: watched path/op not touched by attacks OR comm condition unmet (needs YAML review)
collection_local_mail_spool_access,silent,file,warning,0,0,0,0,Z4. file: watched path/op not touched by attacks OR comm condition unmet (needs YAML review)
container_escape_cap_sys_admin,silent,syscall,critical,0,0,0,0,P. container-escape-file: escape not attempted; many paths need LSM too
container_escape_cgroup_migrate,silent,cgroup_esc,critical,0,0,0,0,G. cgroup-escape: needs LSM hooks unavailable on stend
container_escape_cgroup_to_root,silent,cgroup_esc,critical,0,0,0,0,G. cgroup-escape: needs LSM hooks unavailable on stend
container_escape_cgroup_v1_release_agent,silent,file,critical,0,0,0,0,G. cgroup-escape: needs LSM hooks unavailable on stend
container_escape_chroot,silent,syscall,warning,0,0,0,0,P. container-escape-file: escape not attempted; many paths need LSM too
container_escape_containerd_socket,silent,file,critical,0,0,0,0,P. container-escape-file: escape not attempted; many paths need LSM too
container_escape_core_pattern,silent,file,critical,0,0,0,0,P. container-escape-file: escape not attempted; many paths need LSM too
container_escape_crio_socket,silent,file,critical,0,0,0,0,P. container-escape-file: escape not attempted; many paths need LSM too
container_escape_docker_socket,silent,file,critical,0,0,0,0,P. container-escape-file: escape not attempted; many paths need LSM too
container_escape_kmem_access,silent,file,critical,0,0,0,0,P. container-escape-file: escape not attempted; many paths need LSM too
container_escape_mount,silent,syscall,critical,0,0,0,0,P. container-escape-file: escape not attempted; many paths need LSM too
container_escape_nsenter,silent,syscall,critical,0,0,0,0,P. container-escape-file: escape not attempted; many paths need LSM too
container_escape_pivot_root,silent,syscall,critical,0,0,0,0,P. container-escape-file: escape not attempted; many paths need LSM too
container_escape_sysrq_trigger,silent,file,critical,0,0,0,0,P. container-escape-file: escape not attempted; many paths need LSM too
container_escape_unshare_user,silent,syscall,warning,0,0,0,0,P. container-escape-file: escape not attempted; many paths need LSM too
cred_aws_credentials_read,silent,file,warning,0,0,0,0,Z4. file: watched path/op not touched by attacks OR comm condition unmet (needs YAML review)
cred_bash_history_read,silent,file,warning,0,0,0,0,Z4. file: watched path/op not touched by attacks OR comm condition unmet (needs YAML review)
cred_browser_store_read,silent,file,warning,0,0,0,0,Z4. file: watched path/op not touched by attacks OR comm condition unmet (needs YAML review)
cred_docker_auth_read,silent,file,warning,0,0,0,0,Z4. file: watched path/op not touched by attacks OR comm condition unmet (needs YAML review)
cred_gcp_service_account_read,silent,file,warning,0,0,0,0,Z4. file: watched path/op not touched by attacks OR comm condition unmet (needs YAML review)
cred_ssh_private_key_read,silent,file,warning,0,0,0,0,Z4. file: watched path/op not touched by attacks OR comm condition unmet (needs YAML review)
cred_vault_token_read,silent,file,critical,0,0,0,0,Z4. file: watched path/op not touched by attacks OR comm condition unmet (needs YAML review)
credaccess_pam_config_backdoor,silent,file,critical,0,0,0,0,Z4. file: watched path/op not touched by attacks OR comm condition unmet (needs YAML review)
credaccess_ssh_authorized_keys_modified,silent,file,critical,0,0,0,0,Z4. file: watched path/op not touched by attacks OR comm condition unmet (needs YAML review)
cryptominer_binary_name,silent,syscall,critical,0,0,0,0,M. cryptominer: no miner binary executed in test attacks (stratum not exercised)
cryptominer_container_workload,silent,tcp_connect,critical,0,0,0,0,M. cryptominer: no miner binary executed in test attacks (stratum not exercised)
cryptominer_dns_pool,silent,dns,critical,0,0,0,0,"D. dns: collector blind on nss-resolve path (P0-26); attacks hit localhost:3000, no resolution needed"
cryptominer_high_cpu_network,silent,sequence,warning,0,0,0,0,M. cryptominer: no miner binary executed in test attacks (stratum not exercised)
cryptominer_pool_ports,silent,tcp_connect,critical,0,0,0,0,M. cryptominer: no miner binary executed in test attacks (stratum not exercised)
cryptominer_stratum_protocol,silent,tls,critical,0,0,0,0,C. tls: collector disabled in test config (config-test.yaml tls.enabled=false)
cryptominer_wallet_address,silent,tls,critical,0,0,0,0,C. tls: collector disabled in test config (config-test.yaml tls.enabled=false)
defense_evasion_binary_truncate_pad,silent,file,warning,0,0,0,0,Z4. file: watched path/op not touched by attacks OR comm condition unmet (needs YAML review)
defense_evasion_journald_log_clear,silent,file,critical,0,0,0,0,Z4. file: watched path/op not touched by attacks OR comm condition unmet (needs YAML review)
